Rank,Player,Pos.,Weekly Salary,2018 Salary,Club
1,Sebastian Giovinco (http://www.capology.com/soccer/player/sebastian-giovinco/salary-profile/),F,"$136,838","$7,115,556",Toronto FC
2,Michael Bradley (http://www.capology.com/soccer/player/michael-bradley/salary-profile/),M,"$125,000","$6,500,000",Toronto FC
3,Carlos Vela (http://www.capology.com/soccer/player/carlos-vela/salary-profile/),F,"$121,010","$6,292,500",LAFC
4,Bastian Schweinsteiger (http://www.capology.com/soccer/player/bastian-schweinsteiger/salary-profile/),M,"$117,308","$6,100,000",Chicago Fire
5,Giovani dos Santos (http://www.capology.com/soccer/player/giovani-dos-santos/salary-profile/),F,"$115,385","$6,000,000",LA Galaxy
6,David Villa (http://www.capology.com/soccer/player/david-villa/salary-profile/),F,"$107,885","$5,610,000",NYC FC
7,Jozy Altidore (http://www.capology.com/soccer/player/jozy-altidore/salary-profile/),F,"$96,154","$5,000,000",Toronto FC
8,Ignacio Piatti (http://www.capology.com/soccer/player/ignacio-piatti/salary-profile/),M,"$90,641","$4,713,333",Montreal Impact
9,Tim Howard (http://www.capology.com/soccer/player/tim-howard/salary-profile/),GK,"$47,596","$2,475,000",Colorado Rapids
10,Diego Valeri (http://www.capology.com/soccer/player/diego-valeri/salary-profile/),M,"$45,769","$2,380,000",Portland Timbers
11,Nicolas Lodeiro (http://www.capology.com/soccer/player/nicolas-lodeiro/salary-profile/),M,"$44,279","$2,302,500",Seattle Sounders
12,Miguel Almiron (http://www.capology.com/soccer/player/miguel-almiron/salary-profile/),M,"$44,173","$2,297,000",Atlanta United
13,Yura Movsisyan (http://www.capology.com/soccer/player/yura-movsisyan/salary-profile/),F,"$39,880","$2,073,750",Major League Soccer L.L.C
14,Jonathan dos Santos (http://www.capology.com/soccer/player/jonathan-dos-santos/salary-profile/),M,"$38,462","$2,000,000",LA Galaxy
15,Maxi Moralez (http://www.capology.com/soccer/player/maxi-moralez/salary-profile/),M,"$38,462","$2,000,000",NYC FC
16,Fanendo Adi (http://www.capology.com/soccer/player/fanendo-adi/salary-profile/),F,"$37,179","$1,933,333",Portland Timbers
17,Nemanja Nikolic (http://www.capology.com/soccer/player/nemanja-nikolic/salary-profile/),F,"$36,660","$1,906,333",Chicago Fire
18,Romain Alessandrini (http://www.capology.com/soccer/player/romain-alessandrini/salary-profile/),M,"$35,961","$1,869,996",LA Galaxy
19,Borek Dockal (http://www.capology.com/soccer/player/borek-dockal/salary-profile/),M,"$32,967","$1,714,286",Philadelphia Union
20,Shkelzen Gashi (http://www.capology.com/soccer/player/shkelzen-gashi/salary-profile/),F,"$32,091","$1,668,750",Colorado Rapids
21,Clint Dempsey (http://www.capology.com/soccer/player/clint-dempsey/salary-profile/),F,"$31,731","$1,650,000",Seattle Sounders
22,Darwin Quintero (http://www.capology.com/soccer/player/darwin-quintero/salary-profile/),F,"$31,731","$1,650,000",Minnesota United
23,Felipe Gutierrez (http://www.capology.com/soccer/player/felipe-gutierrez/salary-profile/),M,"$31,731","$1,650,000",Sporting KC
24,Bradley Wright-Phillips (http://www.capology.com/soccer/player/bradley-wright-phillips/salary-profile/),F,"$31,442","$1,635,000",NY Red Bulls
25,Victor Vazquez (http://www.capology.com/soccer/player/victor-vazquez/salary-profile/),M,"$28,846","$1,500,000",Toronto FC
26,Zlatan Ibrahimovic (http://www.capology.com/soccer/player/zlatan-ibrahimovic/salary-profile/),F,"$28,846","$1,500,000",LA Galaxy
27,Valeri Qazaishvili (http://www.capology.com/soccer/player/valeri-qazaishvili/salary-profile/),M,"$27,962","$1,454,042",San Jose Earthquakes
28,Ezequiel Barco (http://www.capology.com/soccer/player/ezequiel-barco/salary-profile/),M,"$27,404","$1,425,000",Atlanta United
29,Josef Martinez (http://www.capology.com/soccer/player/josef-martinez/salary-profile/),F,"$26,679","$1,387,318",Atlanta United
30,Dom Dwyer (http://www.capology.com/soccer/player/dom-dwyer/salary-profile/),F,"$26,603","$1,383,333",Orlando City
31,Sebastian Blanco (http://www.capology.com/soccer/player/sebastian-blanco/salary-profile/),M,"$26,442","$1,375,008",Portland Timbers
32,Ager Aketxe Barrutia (http://www.capology.com/soccer/player/ager-aketxe-barrutia/salary-profile/),M,"$24,904","$1,295,000",Toronto FC
33,Aleksandar Katai (http://www.capology.com/soccer/player/aleksandar-katai/salary-profile/),M,"$24,545","$1,276,333",Chicago Fire
34,Alejandro Bedoya (http://www.capology.com/soccer/player/alejandro-bedoya/salary-profile/),M,"$24,351","$1,266,250",Philadelphia Union
35,David Accam (http://www.capology.com/soccer/player/david-accam/salary-profile/),F,"$24,038","$1,250,000",Philadelphia Union
36,Alfredo Ortuno (http://www.capology.com/soccer/player/alfredo-ortuno/salary-profile/),F,"$22,356","$1,162,500",Real Salt Lake
37,Osvaldo Alonso (http://www.capology.com/soccer/player/osvaldo-alonso/salary-profile/),M,"$21,955","$1,141,667",Seattle Sounders
38,Federico Higuain (http://www.capology.com/soccer/player/federico-higuain/salary-profile/),M,"$21,154","$1,100,000",Columbus Crew
39,Sacha Kljestan (http://www.capology.com/soccer/player/sacha-kljestan/salary-profile/),M,"$21,154","$1,100,000",Orlando City
40,Victor Rodriguez (http://www.capology.com/soccer/player/victor-rodriguez/salary-profile/),M,"$20,913","$1,087,500",Seattle Sounders
41,Diego Rossi (http://www.capology.com/soccer/player/diego-rossi/salary-profile/),F,"$20,231","$1,052,000",LAFC
42,Lucas Melano (http://www.capology.com/soccer/player/lucas-melano/salary-profile/),F,"$20,192","$1,050,000",Portland Timbers
43,Damir Kreilach (http://www.capology.com/soccer/player/damir-kreilach/salary-profile/),M,"$19,487","$1,013,333",Real Salt Lake
44,Krisztian Nemeth (http://www.capology.com/soccer/player/krisztian-nemeth/salary-profile/),F,"$19,378","$1,007,667",New England Revolution
45,Jorgen Skjelvik (http://www.capology.com/soccer/player/jorgen-skjelvik/salary-profile/),D,"$19,231","$1,000,000",LA Galaxy
46,Kei Kamara (http://www.capology.com/soccer/player/kei-kamara/salary-profile/),F,"$19,231","$1,000,000",Vancouver Whitecaps
47,Zoltan Stieber (http://www.capology.com/soccer/player/zoltan-stieber/salary-profile/),M,"$19,231","$1,000,000",D.C. United
48,Marc Rzatkowski (http://www.capology.com/soccer/player/marc-rzatkowski/salary-profile/),M,"$18,772","$976,167",NY Red Bulls
49,Mauro Diaz (http://www.capology.com/soccer/player/mauro-diaz/salary-profile/),M,"$18,267","$949,890",FC Dallas
50,Adama Diomande (http://www.capology.com/soccer/player/adama-diomande/salary-profile/),F,"$17,981","$935,000",LAFC
51,Ola Kamara (http://www.capology.com/soccer/player/ola-kamara/salary-profile/),F,"$17,788","$925,000",LA Galaxy
52,Claude Dielna (http://www.capology.com/soccer/player/claude-dielna/salary-profile/),D,"$17,497","$909,861",New England Revolution
53,Albert Rusnak (http://www.capology.com/soccer/player/albert-rusnak/salary-profile/),M,"$17,458","$907,821",Real Salt Lake
54,Yannick Boli (http://www.capology.com/soccer/player/yannick-boli/salary-profile/),F,"$17,452","$907,500",Colorado Rapids
55,Roger Espinoza (http://www.capology.com/soccer/player/roger-espinoza/salary-profile/),M,"$17,308","$900,000",Sporting KC
56,Jonathan Mensah (http://www.capology.com/soccer/player/jonathan-mensah/salary-profile/),D,"$16,711","$868,996",Columbus Crew
57,Lamine Sane (http://www.capology.com/soccer/player/lamine-sane/salary-profile/),D,"$16,442","$855,000",Orlando City
58,Stefan Aigner (http://www.capology.com/soccer/player/stefan-aigner/salary-profile/),M,"$16,267","$845,885",Colorado Rapids
59,Gregory Van Der Wiel (http://www.capology.com/soccer/player/gregory-van-der-wiel/salary-profile/),D,"$16,058","$835,000",Toronto FC
60,Roland Lamah (http://www.capology.com/soccer/player/roland-lamah/salary-profile/),M,"$15,740","$818,500",FC Dallas
61,Jo Inge Berget (http://www.capology.com/soccer/player/jo-inge-berget/salary-profile/),F,"$15,705","$816,667",NYC FC
62,Alejandro Silva (http://www.capology.com/soccer/player/alejandro-silva/salary-profile/),M,"$15,385","$800,040",Montreal Impact
63,Chris Wondolowski (http://www.capology.com/soccer/player/chris-wondolowski/salary-profile/),F,"$15,385","$800,000",San Jose Earthquakes
64,Reto Ziegler (http://www.capology.com/soccer/player/reto-ziegler/salary-profile/),D,"$15,385","$800,000",FC Dallas
65,Saphir Taider (http://www.capology.com/soccer/player/saphir-taider/salary-profile/),M,"$15,385","$800,000",Montreal Impact
66,Pedro Santos (http://www.capology.com/soccer/player/pedro-santos/salary-profile/),M,"$15,281","$794,600",Columbus Crew
67,Larrys Mabiala (http://www.capology.com/soccer/player/larrys-mabiala/salary-profile/),D,"$15,256","$793,333",Portland Timbers
68,Matt Besler (http://www.capology.com/soccer/player/matt-besler/salary-profile/),D,"$15,063","$783,250",Sporting KC
69,Graham Zusi (http://www.capology.com/soccer/player/graham-zusi/salary-profile/),D,"$15,040","$782,102",Sporting KC
70,Maximiliano Urruti (http://www.capology.com/soccer/player/maximiliano-urruti/salary-profile/),F,"$15,019","$781,000",FC Dallas
71,Jesus Medina (http://www.capology.com/soccer/player/jesus-medina/salary-profile/),M,"$14,824","$770,833",NYC FC
72,Hector Villalba (http://www.capology.com/soccer/player/hector-villalba/salary-profile/),F,"$14,822","$770,750",Atlanta United
73,Brek Shea (http://www.capology.com/soccer/player/brek-shea/salary-profile/),D,"$14,327","$745,000",Vancouver Whitecaps
74,Carlos Gruezo (http://www.capology.com/soccer/player/carlos-gruezo/salary-profile/),M,"$14,053","$730,750",FC Dallas
75,Ashley Cole (http://www.capology.com/soccer/player/ashley-cole/salary-profile/),D,"$13,894","$722,500",LA Galaxy
76,Matteo Mancosu (http://www.capology.com/soccer/player/matteo-mancosu/salary-profile/),F,"$13,837","$719,542",Montreal Impact
77,Dax McCarty (http://www.capology.com/soccer/player/dax-mccarty/salary-profile/),M,"$13,702","$712,500",Chicago Fire
78,Marcelo Silva (http://www.capology.com/soccer/player/marcelo-silva/salary-profile/),D,"$13,690","$711,875",Real Salt Lake
79,Rod Fanni (http://www.capology.com/soccer/player/rod-fanni/salary-profile/),D,"$13,654","$710,000",Montreal Impact
80,Alejandro Romero (http://www.capology.com/soccer/player/alejandro-romero/salary-profile/),M,"$13,636","$709,091",NY Red Bulls
81,Aly Ghazal (http://www.capology.com/soccer/player/aly-ghazal/salary-profile/),M,"$13,472","$700,567",Vancouver Whitecaps
82,Brad Guzan (http://www.capology.com/soccer/player/brad-guzan/salary-profile/),GK,"$13,462","$700,008",Atlanta United
83,Johnny Russell (http://www.capology.com/soccer/player/johnny-russell/salary-profile/),M,"$13,462","$700,000",Sporting KC
84,Liam Ridgewell (http://www.capology.com/soccer/player/liam-ridgewell/salary-profile/),D,"$13,462","$700,000",Portland Timbers
85,Rudy Camacho (http://www.capology.com/soccer/player/rudy-camacho/salary-profile/),D,"$13,445","$699,153",Montreal Impact
86,Leandro Pirez (http://www.capology.com/soccer/player/leandro-pirez/salary-profile/),D,"$13,173","$685,004",Atlanta United
87,Joao Plata (http://www.capology.com/soccer/player/joao-plata/salary-profile/),F,"$13,141","$683,333",Real Salt Lake
88,Joe Mason (http://www.capology.com/soccer/player/joe-mason/salary-profile/),F,"$13,125","$682,500",Colorado Rapids
89,Yohan Croizet (http://www.capology.com/soccer/player/yohan-croizet/salary-profile/),M,"$13,077","$680,004",Sporting KC
90,Daniel Royer (http://www.capology.com/soccer/player/daniel-royer/salary-profile/),M,"$12,861","$668,750",NY Red Bulls
91,Laurent Ciman (http://www.capology.com/soccer/player/laurent-ciman/salary-profile/),D,"$12,724","$661,667",LAFC
92,Luciano Acosta (http://www.capology.com/soccer/player/luciano-acosta/salary-profile/),F,"$12,538","$652,000",D.C. United
93,Alberth Elis (http://www.capology.com/soccer/player/alberth-elis/salary-profile/),F,"$12,507","$650,340",Houston Dynamo
94,Roman Torres (http://www.capology.com/soccer/player/roman-torres/salary-profile/),D,"$12,404","$645,000",Seattle Sounders
95,Christian Ramirez (http://www.capology.com/soccer/player/christian-ramirez/salary-profile/),F,"$12,332","$641,250",Minnesota United
96,Tommy Smith (http://www.capology.com/soccer/player/tommy-smith/salary-profile/),D,"$12,308","$640,000",Colorado Rapids
97,Paul Arriola (http://www.capology.com/soccer/player/paul-arriola/salary-profile/),M,"$12,288","$639,000",D.C. United
98,Jonathan Spector (http://www.capology.com/soccer/player/jonathan-spector/salary-profile/),D,"$12,249","$636,942",Orlando City
99,Kim Kee-Hee (http://www.capology.com/soccer/player/kim-kee-hee/salary-profile/),D,"$12,154","$632,004",Seattle Sounders
100,Gyasi Zardes (http://www.capology.com/soccer/player/gyasi-zardes/salary-profile/),F,"$12,115","$630,000",Columbus Crew
101,Benny Feilhaber (http://www.capology.com/soccer/player/benny-feilhaber/salary-profile/),M,"$12,019","$625,000",LAFC
102,Jay Simpson (http://www.capology.com/soccer/player/jay-simpson/salary-profile/),F,"$11,987","$623,341",Philadelphia Union
103,Darlington Nagbe (http://www.capology.com/soccer/player/darlington-nagbe/salary-profile/),F,"$11,923","$620,000",Atlanta United
104,Michael Ciani (http://www.capology.com/soccer/player/michael-ciani/salary-profile/),D,"$11,923","$620,000",LA Galaxy
105,Efrain Juarez (http://www.capology.com/soccer/player/efrain-juarez/salary-profile/),D,"$11,920","$619,833",Vancouver Whitecaps
106,Samuel Armenteros (http://www.capology.com/soccer/player/samuel-armenteros/salary-profile/),F,"$11,699","$608,333",Portland Timbers
107,Kendall Waston (http://www.capology.com/soccer/player/kendall-waston/salary-profile/),D,"$11,619","$604,167",Vancouver Whitecaps
108,Juan Agudelo (http://www.capology.com/soccer/player/juan-agudelo/salary-profile/),F,"$11,587","$602,500",New England Revolution
109,Yoshimar Yotun (http://www.capology.com/soccer/player/yoshimar-yotun/salary-profile/),M,"$11,538","$599,996",Orlando City
110,Johan Kappelhof (http://www.capology.com/soccer/player/johan-kappelhof/salary-profile/),D,"$11,442","$595,000",Chicago Fire
111,Gerso Fernandes (http://www.capology.com/soccer/player/gerso-fernandes/salary-profile/),F,"$11,370","$591,258",Sporting KC
112,Michael de Leeuw (http://www.capology.com/soccer/player/michael-de-leeuw/salary-profile/),F,"$11,331","$589,213",Chicago Fire
113,Chris McCann (http://www.capology.com/soccer/player/chris-mccann/salary-profile/),M,"$11,308","$588,000",Atlanta United
114,Cristian Colman (http://www.capology.com/soccer/player/cristian-colman/salary-profile/),F,"$11,250","$585,000",FC Dallas
115,Cristian Higuita (http://www.capology.com/soccer/player/cristian-higuita/salary-profile/),M,"$11,186","$581,663",Orlando City
116,Justin Meram (http://www.capology.com/soccer/player/justin-meram/salary-profile/),M,"$11,130","$578,758",Orlando City
117,Kelvin Leerdam (http://www.capology.com/soccer/player/kelvin-leerdam/salary-profile/),D,"$11,058","$575,000",Seattle Sounders
118,Diego Chara (http://www.capology.com/soccer/player/diego-chara/salary-profile/),M,"$11,000","$572,000",Portland Timbers
119,Florian Jungwirth (http://www.capology.com/soccer/player/florian-jungwirth/salary-profile/),D,"$10,898","$566,671",San Jose Earthquakes
120,Alexander Callens (http://www.capology.com/soccer/player/alexander-callens/salary-profile/),D,"$10,846","$564,000",NYC FC
121,Chris Mavinga (http://www.capology.com/soccer/player/chris-mavinga/salary-profile/),D,"$10,833","$563,333",Toronto FC
122,Cristian Penilla (http://www.capology.com/soccer/player/cristian-penilla/salary-profile/),F,"$10,577","$550,000",New England Revolution
123,Wil Trapp (http://www.capology.com/soccer/player/wil-trapp/salary-profile/),M,"$10,577","$550,004",Columbus Crew
124,Magnus Eikrem (http://www.capology.com/soccer/player/magnus-eikrem/salary-profile/),M,"$10,513","$546,667",Seattle Sounders
125,Haris Medunjanin (http://www.capology.com/soccer/player/haris-medunjanin/salary-profile/),M,"$10,481","$545,004",Philadelphia Union
126,Wilfried Zahibo (http://www.capology.com/soccer/player/wilfried-zahibo/salary-profile/),M,"$10,462","$544,000",New England Revolution
127,Santiago Mosquera (http://www.capology.com/soccer/player/santiago-mosquera/salary-profile/),M,"$10,412","$541,400",FC Dallas
128,Daniel Wilson (http://www.capology.com/soccer/player/daniel-wilson/salary-profile/),D,"$10,385","$540,000",Colorado Rapids
129,Jahmir Hyka (http://www.capology.com/soccer/player/jahmir-hyka/salary-profile/),M,"$10,385","$539,996",San Jose Earthquakes
130,Yordy Reyna (http://www.capology.com/soccer/player/yordy-reyna/salary-profile/),F,"$10,263","$533,700",Vancouver Whitecaps
131,Kyle Beckerman (http://www.capology.com/soccer/player/kyle-beckerman/salary-profile/),M,"$10,192","$530,008",Real Salt Lake
132,CJ Sapong (http://www.capology.com/soccer/player/cj-sapong/salary-profile/),F,"$10,096","$525,000",Philadelphia Union
133,Matt Hedges (http://www.capology.com/soccer/player/matt-hedges/salary-profile/),D,"$10,096","$525,004",FC Dallas
134,Steven Birnbaum (http://www.capology.com/soccer/player/steven-birnbaum/salary-profile/),D,"$10,096","$525,004",D.C. United
135,Francisco Calvo (http://www.capology.com/soccer/player/francisco-calvo/salary-profile/),D,"$10,050","$522,600",Minnesota United
136,Yamil Asad (http://www.capology.com/soccer/player/yamil-asad/salary-profile/),M,"$10,010","$520,523",D.C. United
137,Danny Hoesen (http://www.capology.com/soccer/player/danny-hoesen/salary-profile/),F,"$9,962","$518,000",San Jose Earthquakes
138,Andre Blake (http://www.capology.com/soccer/player/andre-blake/salary-profile/),GK,"$9,615","$500,000",Philadelphia Union
139,Lee Nguyen (http://www.capology.com/soccer/player/lee-nguyen/salary-profile/),M,"$9,615","$500,000",LAFC
140,Omar Gaber (http://www.capology.com/soccer/player/omar-gaber/salary-profile/),D,"$9,615","$500,000",LAFC
141,Tomas Martinez (http://www.capology.com/soccer/player/tomas-martinez/salary-profile/),M,"$9,383","$487,929",Houston Dynamo
142,Kevin Molino (http://www.capology.com/soccer/player/kevin-molino/salary-profile/),M,"$9,183","$477,504",Minnesota United
143,Perry Kitchen (http://www.capology.com/soccer/player/perry-kitchen/salary-profile/),D,"$9,119","$474,167",LA Galaxy
144,Anibal Godoy (http://www.capology.com/soccer/player/anibal-godoy/salary-profile/),M,"$9,099","$473,125",San Jose Earthquakes
145,Will Johnson (http://www.capology.com/soccer/player/will-johnson/salary-profile/),M,"$9,039","$470,004",Orlando City
146,Eduard Atuesta (http://www.capology.com/soccer/player/eduard-atuesta/salary-profile/),M,"$9,000","$468,000",LAFC
147,Luis Robles (http://www.capology.com/soccer/player/luis-robles/salary-profile/),GK,"$8,846","$460,000",NY Red Bulls
148,Aurelien Collin (http://www.capology.com/soccer/player/aurelien-collin/salary-profile/),D,"$8,654","$450,000",NY Red Bulls
149,Carlos Rivas (http://www.capology.com/soccer/player/carlos-rivas/salary-profile/),M,"$8,558","$444,996",NY Red Bulls
150,Anton Tinnerholm (http://www.capology.com/soccer/player/anton-tinnerholm/salary-profile/),D,"$8,364","$434,925",NYC FC
151,Adam Lundkvist (http://www.capology.com/soccer/player/adam-lundkvist/salary-profile/),D,"$8,341","$433,750",Houston Dynamo
152,Felipe Martins (http://www.capology.com/soccer/player/felipe-martins/salary-profile/),M,"$8,173","$425,000",Vancouver Whitecaps
153,Gabriel Somi (http://www.capology.com/soccer/player/gabriel-somi/salary-profile/),D,"$8,173","$425,000",New England Revolution
154,Nick Rimando (http://www.capology.com/soccer/player/nick-rimando/salary-profile/),GK,"$8,125","$422,500",Real Salt Lake
155,Darren Mattocks (http://www.capology.com/soccer/player/darren-mattocks/salary-profile/),F,"$8,013","$416,667",D.C. United
156,Oriol Rosell (http://www.capology.com/soccer/player/oriol-rosell/salary-profile/),M,"$7,933","$412,500",Orlando City
157,Cristian Techera (http://www.capology.com/soccer/player/cristian-techera/salary-profile/),M,"$7,923","$412,000",Vancouver Whitecaps
158,Alexander Ring (http://www.capology.com/soccer/player/alexander-ring/salary-profile/),M,"$7,917","$411,667",NYC FC
159,Maxime Chanot (http://www.capology.com/soccer/player/maxime-chanot/salary-profile/),D,"$7,846","$408,000",NYC FC
160,Jack Price (http://www.capology.com/soccer/player/jack-price/salary-profile/),M,"$7,837","$407,500",Colorado Rapids
161,Antonio Mlinar Delamea (http://www.capology.com/soccer/player/antonio-mlinar-delamea/salary-profile/),D,"$7,692","$400,008",New England Revolution
162,Magnus Eriksson (http://www.capology.com/soccer/player/magnus-eriksson/salary-profile/),F,"$7,692","$400,000",San Jose Earthquakes
163,Michael Barrios (http://www.capology.com/soccer/player/michael-barrios/salary-profile/),M,"$7,692","$400,000",FC Dallas
164,Jefferson Savarino (http://www.capology.com/soccer/player/jefferson-savarino/salary-profile/),F,"$7,667","$398,688",Real Salt Lake
165,Ronald Matarrita (http://www.capology.com/soccer/player/ronald-matarrita/salary-profile/),D,"$7,596","$395,000",NYC FC
